source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,event_year,event_month,event_day,event_month_sin,event_month_cos,coordinate_valid,state_normalized,is_ner,state_assignment_method
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,147,2007-07-30 00:00:00,,Lawngtlai,road networks disrupted,Lawngtlai,25km,landslide,downpour,medium,unknown,,,,,,glc,147,India,IN,Mizoram,22654,Saiha,9.62825,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,92.899,22.533,2007,7,30,0.0000,-1.0000,True,Mizoram,True,administrative
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2012-06-04/guwahati/32030359_1_barail-hill-harangajao-landslides,4382,2012-06-03 00:00:00,,"between Harangajao and Mailongdisa, Assa,","Torrential rain in the Barail Hill range for the past many days triggered landslides at least five places along the Lumding-Silchar section of Northeast Frontier Railway (NFR) early on Sunday. Authorities have suspended and regulated services of all the trains in this 214-km section until tracks are cleared.   A senior official of NFR here said at around 3am on Sunday, a large amount of soil and mud, boulders and trees came down the Borail Hill on the tracks at five different places in Dima Hasao district. The affected places are between Harangajao and Mailongdisa, Bandarkhal and Chandranathpur, Maibang and Daotohaja, Lower Haflong and Bagetar and between Mahur and Migrendisa.","between Harangajao and Mailongdisa, Assa,",5km,landslide,downpour,medium,unknown,,,,,,glc,4382,India,IN,Assam,39982,Hāflong,16.97606,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,92.8573,25.1175,2012,6,3,0.5000,-0.8660,True,Assam,True,administrative
beacononline.wordpress,http://beacononline.wordpress.com/2009/08/25/kalimpong-highway-doom-for-hill-economy/,1112,2009-08-20 00:00:00,,"NH31A, Mile 27 near Rambi","Vehicles ply on 27 Mile, a landslide-affected stretch of NH31A, after fresh mudslide on Monday. The rain-triggered landslides and cave-ins have reduced the highway to a potholed and slushy track at numerous places, leading to frequent traffic jams and increase in travel time from two hours to more than double for Siliguri-bound vehicles from here on National Highway 31-A, lifeline for Sikkim and Kalimpong At least 10 places along the Highway had been hit by landslides, triggered by torrential rains over the past week. All these stretches, except Mile 27 area near Rambi have been cleared by the Border Roads Organisation (BRO).","NH31A, Mile 27 near Rambi",25km,mudslide,downpour,medium,unknown,0,,,,,glc,1112,India,IN,Sikkim,4026,Rangpo,0.50251,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,88.5287,27.1761,2009,8,20,-0.5000,-0.8660,True,Sikkim,True,administrative
Mizoram Express,http://mizoramexpress.com/index.php/2010/09/mizoram-landslides-kill-one-woman/,2424,2010-09-13 00:00:00,,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram","Sep 15, 2010  AIZAWL: Aizawl-Champhai road also was blocked by landslides in two places near Tuivawl and Tuichang.  ZONET Champhai Corr. said, the road block near Tuivawl was cleared while men are still at work till in the afternoon to clear the road block near Tuichang.","near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",25km,landslide,downpour,medium,unknown,0,,,,,glc,2424,India,IN,Mizoram,265331,Aizawl,26.45346,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,92.9296,23.591,2010,9,13,-0.8660,-0.5000,True,Mizoram,True,administrative
Sikkim times.com,http://www.thestatesman.net/page.arcview.php?clid=10&id=184730&usrsess=1,78,2007-05-23 00:00:00,,"Pangthang, on road b/t Gangtok and North Sikkim",along highway,"Pangthang, on road b/t Gangtok and North Sikkim",50km,landslide,rain,medium,unknown,,,,,,glc,78,India,IN,Sikkim,30700,Gangtok,1.48585,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,88.6069,27.3383,2007,5,23,0.8660,-0.5000,True,Sikkim,True,administrative
e-pao.net,http://e-pao.net/GP.asp?src=24..050913.sep13,5431,2013-09-01 00:00:00,,"Tamenglong, Manipur","The incessant rains have caused mudslides causing great havoc in different parts of Tamenglong district. Many people have also lost their properties in the mudslides at Tamenglong town areas. One major mudslide was occurred at Tamenglong ward No.IV near the petrol pump. One store belonging to DM Wangiangdin has been totally damaged. His Alto Maruti car (Suzuki MN01X3673) which was kept inside the store house was also partially damaged by the mudslide. The residence of one Asam Gonmei has also been submerged by the mudslide, leading to lose of all properties. On account of the mudslide, Tamei- Tamenglong road has remained cut off since September 1.","Tamenglong, Manipur",5km,mudslide,continuous_rain,medium,unknown,0,,,,,glc,5431,India,IN,Assam,7176,Mahur,45.4148,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.5063,24.9829,2013,9,1,-0.8660,-0.5000,True,Assam,True,administrative
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-06-30/guwahati/29720982_1_heavy-rains-highway,3672,2011-06-29 00:00:00,,"Portions of NH 39, Connectin Manipur with Assam via Nagaland","Heavy downpour in the past few days threatens to cut off Nagaland and neighbouring Manipur from the rest of the country. Continuing heavy showers have caused landslides and led to the sinking of a portion of NH 39, creating immense hardship to the people residing here. NH 39, the lifeline of the two northeastern states, connects Manipur with Assam via Nagaland.  If the monsoon showers continue with the same intensity, it is expected that the sunken portion of the highway will have to be closed as it has already become difficult for vehicles to pass through the place.  The main concern of the administrative authorities is the landslide area at the old Kohima Municipal Council (KMC) dumping site about 7 km away from the state capital where mudslides have started with the arrival of the monsoon, leading to disruption of vehicular traffic. Passengers travelling between Kohima and Dimapur have also complained that it is already taking hours to reach their destination.","Portions of NH 39, Connectin Manipur with Assam via Nagaland",unknown,landslide,downpour,medium,unknown,0,,,,,glc,3672,India,IN,Assam,8364,Maibong,32.43398,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.3613,25.5125,2011,6,29,0.5000,-0.8660,True,Assam,True,administrative
e-pao,http://www.e-pao.net/GP.asp?src=28..210810.aug10,2253,2010-08-15 23:00:00,,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Since the Chingai-Quingai road has been sunk due to landslides at various points following heavy rainfall that occured twice during the past 20 days, nearly 5,000 villagers of five villages in the sub-division are facing the alarming possibility of starvation.  The road from Chingai to Quingai in Chingai sub-division of Ukhrul district connects Quingai, Chalou, New Tasom, Tasom CV and Tasom Khullen villages.  However, the road has been disconnected in various places due to heavy rainfall that occurred on the night between July 29 and 30 and again on the night of August 15 .  According to Secretary, Information and Publicity, Northern Raphei Students' Union (NRSU), HAS Thuingaleng, nearly 5,000 villagers of the said villages have been facing extreme hardship.  The wooden bridge over Rondei river had been washed away by the powerful current of the river disconnecting the road.  Moreover, landslides have occurred completely blocking the road at different places.  However, due to the heavy","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25km,landslide,downpour,medium,unknown,0,,,,,glc,2253,India,IN,Manipur,15118,Phek,39.51186,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,94.48265093,25.31006064,2010,8,15,-0.5000,-0.8660,True,Manipur,True,administrative
kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=48686&typeid=2,1108,2009-08-20 00:00:00,,"Tamei, Tamenglong district on Imphal-Tamenglong (IT) road","Landslides on the Imphal-Tamenglong (IT) road have put the people of Tamei, Tamenglong district in difficult times as the stock of essential supplies required for daily use are running short and the concerned department of the state government is not doing anything about the matter, said Poujeng, chairman of Tamei headquarter authority. Due to the intermittent rains, landslides have occurred at 3/4 places on the IT road between Kangpokpi-Tamei and Tamei-Tamenglong at present and new landslides.","Tamei, Tamenglong district on Imphal-Tamenglong (IT) road",10km,landslide,downpour,medium,unknown,0,,,,,glc,1108,India,IN,Assam,7176,Mahur,44.34393,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.5,24.9925,2009,8,20,-0.5000,-0.8660,True,Assam,True,administrative
Times of India,http://timesofindia.indiatimes.com/india/Landslides-in-Arunachal-Pradesh-due-to-incessant-rain/articleshow/37379365.cms,6105,2014-06-26 23:00:00,,Arunachal Pradesh,"Landslides, triggered by incessant rain in the past couple of days have wrecked havoc in several districts of Arunachal Pradesh throwing life out of gear. While flood-like situation prevails in low-lying areas of various districts, road link between Nirjuli and Banderdewa near here has been snapped due to damage of several culverts along the NH 52(A), the life line for the state capital, official sources said. PWD superintendent engineer (highway-western zone) Jumo Geiyi said the stretch of the highway between Nirjuli and Banderdewa has been temporarily closed due to damage to culverts in several places by incessant rain on the night of June 26. As a result, traffic was being diverted through Harmutty-Doimukh-Nirjuli road, instead of the usual route through Karsingsa. Besides, about 20 metre of NH 52(A) has been damaged at Karsingsa, besides Naharlagun, where portions of it have caved in, he said. More damage to the road, which has been breached near North East Regional Institute of Sc",Arunachal Pradesh,unknown,landslide,continuous_rain,medium,above_road,0,0,,,,test,6105,India,IN,Arunachal Pradesh,0,Motuo,43.67228,8/24/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,95.3429,28.9205,2014,6,26,0.5000,-0.8660,True,Arunachal Pradesh,True,administrative
Arunachal Times,http://www.arunachaltimes.in/landslide-blocks-ziro-tamen-road/,9168,2016-06-12 23:00:00,,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","Estimated location along road. Heavy rains on Sunday night triggered series of landslides between Ziro and Ripali, Tamen, 10Kms from Old Ziro, stranding the commuters for the entire day. However due to heavy rains, the restoration work had to be halted and will resume on Tuesday.","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",10km,landslide,downpour,medium,above_road,0,0,,http://www.arunachaltimes.in/wp-content/uploads/2016/06/Landslide-blocks-Ziro-Tamen-road-300x206.jpg,,glc,9168,India,IN,Arunachal Pradesh,13893,Ziro,6.29222,7/25/2016 17:45,11/20/2017 15:17,2/15/2018 15:51,93.871,27.6438,2016,6,12,0.5000,-0.8660,True,Arunachal Pradesh,True,administrative
kanglaonline.com,http://kanglaonline.com/2011/06/two-children-claimed-by-landslide-at-tamenglong/,3560,2011-05-31 14:30:00,,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur","June 1, 2011  A major landslide at Tamenglong has reportedly claimed two lives yesterday. According to a source, two members of a family, a brother and a sister were killed in a massive landslide at the Gaoilung village, Tamenlong ward No. 4 yesterday afternoon at around 2:30 pm.  The deceased brother and sisters were identified as one Masamdingliu, 13 and Mathemsonang, 8 children of Dr. Kiulang originally hailing from Dilong village.  According to the source, the siblings were killed while there house was dragged along by the land slide, triggered by torrential rain yesterday.","Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",50km,landslide,downpour,medium,unknown,2,,,,,glc,3560,India,IN,Manipur,223523,Imphal,35.52835,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.5935,24.8286,2011,5,31,0.8660,-0.5000,True,Manipur,True,administrative
Telegraph India,http://www.telegraphindia.com/1080616/jsp/northeast/story_9416169.jsp,587,2008-06-15 00:00:00,,"Lakhimpur district, Bihpuria, Assam","heavy flooding and landslides in Assam and Arunachal Pradesh, difficult to determine if casualties were from flooding or landslides","Lakhimpur district, Bihpuria, Assam",25km,landslide,downpour,medium,unknown,17,,,,,glc,587,India,IN,Assam,59841,North Lakhimpur,0.75347,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,94.0989,27.2298,2008,6,15,0.5000,-0.8660,True,Assam,True,administrative
The Assam Tribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=sep0815/oth058,8012,2015-09-06 15:00:00,,"Umling, Meghalaya 793102, India","SHILLONG, Sept 7 - Traffic movement was disrupted on National Highway 40 (Guwahati-Shillong Road) on Sunday afternoon due to a massive landslide at Umling, Ri-Bhoi district. However, one lane has been cleared for traffic movement today. Vehicles were stranded for several hours at the Highway. Superintendent of Police, Ri-Bhoi district, GD Kharwanlang rushed to the spot and diverted light vehicles through a different route.  Light vehicles were directed from Byrnihat to Umden and onward towards Nongpoh and Shillong. Similarly, vehicles from Shillong were diverted to Umling-Sohkhwai route and then to 20 Mile. But heavy vehicles were stranded on the highway yesterday.  “Weather permitting we would be able to clear the other lane this evening or tomorrow,” Kharwanlang said over the phone from Nongpoh today.  It is also being advised that those travelling between Guwahati and Shillong can take the Shillong-Mairang- Patharkhmah-Rani route.","Umling, Meghalaya 793102, India",1km,landslide,unknown,medium,above_road,0,0,,,,glc,8012,India,IN,Meghalaya,14387,Nongpoh,7.75972,6/30/2016 17:24,11/20/2017 15:17,2/15/2018 15:51,91.8584,25.9703,2015,9,6,-0.8660,-0.5000,True,Meghalaya,True,administrative
Shillong Times,http://www.theshillongtimes.com/2015/08/20/child-washed-away-in-tura/,7335,2015-08-18 09:00:00,,Tura Civil Hospital,A landslip on Tuesday also damaged shops in the Tura Civil Hospital vicinity.,Tura Civil Hospital,1km,landslide,continuous_rain,medium,urban,0,0,,,,glc,7335,India,IN,Meghalaya,63645,Tura,0.03796,5/26/2016 23:10,11/20/2017 15:17,2/15/2018 15:51,90.2023,25.5145,2015,8,18,-0.5000,-0.8660,True,Meghalaya,True,administrative
nbtvlive,,3983,2011-09-23 00:00:00,,"Maighuli, Guwahati, Meghalaya","Four persons today got buried alive and 10 others were injured in a landslide at Maighuli, along the Assam-Meghalaya border, police said. Incessant rains triggered the landslip along the hills of Maighuli on the Meghalaya side of the border, Kamrup (metro) SSP Deepak Choudhury said. The victims were sheltered in a cluster of houses along the foothills in the area when a large chunk of earth fell on them.Both the Assam and Meghalaya governments launched rescue operation during which four were found dead, officials said. Ten others were brought out of the debris and admitted to Beltola Army Hospital with injuries, they said.","Maighuli, Guwahati, Meghalaya",unknown,landslide,downpour,large,unknown,4,,,,,glc,3983,India,IN,Assam,899094,Guwahati,3.44946,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,91.7351,26.1548,2011,9,23,-0.8660,-0.5000,True,Assam,True,administrative
Red Cross - Field reports,https://www-secure.ifrc.org/dmis/prepare/view_report.asp?ReportID=2987,148,2007-07-30 00:00:00,,Saiha,road networks disrupted,Saiha,25km,landslide,downpour,medium,unknown,,,,,,glc,148,India,IN,Mizoram,22654,Saiha,2.05477,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,92.967,22.479,2007,7,30,0.0000,-1.0000,True,Mizoram,True,administrative
India Today,http://indiatoday.intoday.in/story/landslide-in-manipur-near-myanmar-border-kills-21/1/455645.html,7385,2015-08-01 00:00:00,,"Holenjang, Chandel district","Another village Holenjang, which is 15km away from Joumol is also hit by landslide but due to non-motorable road rescue teams were yet to reach this area till late Saturday evening.","Holenjang, Chandel district",10km,landslide,continuous_rain,medium,unknown,0,0,,http://www.e-pao.org/galleries/images/News_Related/2015/08/Hollenjang_20150813.jpg,,glc,7385,India,IN,Manipur,47774,Churāchāndpur,48.31354,05-06-2016 00:51,11/20/2017 15:17,2/15/2018 15:51,93.9815,24.004,2015,8,1,-0.5000,-0.8660,True,Manipur,True,administrative
dnaindia,http://www.dnaindia.com/india/report_one-dead-road-and-rail-communication-disrupted-due-to-rains-in-assam_1450237,2575,2010-10-09 00:00:00,,"road between Haflong and Lanka, Assam","Road communication, too, has been disrupted in the district with the road connecting Haflong and Lanka severely damaged, sources said.","road between Haflong and Lanka, Assam",50km,landslide,downpour,medium,unknown,0,,,,,glc,2575,India,IN,Assam,8364,Maibong,28.77268,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,92.9914,25.5242,2010,10,9,-1.0000,-0.0000,True,Assam,True,administrative
assamtribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=jul3011/oth05,3840,2011-07-25 00:00:00,,Manipur,"Manipur road links restored Sobhapati Samom  IMPHAL, July 29 – Road links to Manipur, which remained cut off from the rest of the country since the last three days following heavy landslides on the National Highways, has been re-opened on Thursday.  However, repairs of the road at the landslide prone Maram bazaar stretch of Imphal-Dimapur sector of the National Highway 2 (formerly known as NH 39) in Senapati district would take some time.  With the opening of the State’s life line, the 300 stranded goods laden trucks have resumed their journey for their destinations in the afternoon today.  But the more than 4,000 residents of Maram bazaar, a small hill town located on the highway are facing scarcity of potable water after the landslide buried the water supply pipelines.  “We have been buying water at the rate of Rs 20 per 40 litre tin since the last three weeks”, Kunjeshwori, a fish vendor at Maram Bazar said.  Economic blockade: An economic blockade on the two national highways – NH",Manipur,50km,landslide,downpour,medium,unknown,0,,,,,glc,3840,India,IN,Manipur,22159,Mayāng Imphāl,8.94757,04-01-2014 00:00,11/20/2017 15:17,2/15/2018 15:51,93.9157,24.6869,2011,7,25,0.0000,-1.0000,True,Manipur,True,administrative
Business Standard,http://www.business-standard.com/article/pti-stories/communication-to-tezu-snapped-due-to-landslide-114051000401_1.html,6015,2014-05-08 00:00:00,,Lohit District of Arunachal Pradesh,"Landslides triggered by the first monsoon spell have snapped surface communication to Tezu in Lohit district of Arunachal Pradesh. The headquarters town of Tezu was cut off from rest of the state following massive landslides due to incessant rain in the past few days. According to official sources, heavy landslides beyond 5 km point from Tohangam (O Point) have brought vehicular movement to a standstill. ""Due to sinking of the steep hill and continuous mudslide, it is foiling our rigorous efforts. For few hours the mud was cleared and the road was made thorough but the continuous rain is creating hurdles in restoration works,"" BRO official P K Gupta informed. The Alubari Ghat connecting Tezu with Namsai had also been closed owing to surging waters of the Lohit river and its tributaries, sources said.",Lohit District of Arunachal Pradesh,1km,mudslide,rain,medium,above_road,0,0,,,,glc,6015,India,IN,Arunachal Pradesh,14927,Tezu,4.5707,8/24/2014 0:00,11/20/2017 15:17,2/15/2018 15:51,96.174,27.9032,2014,5,8,0.8660,-0.5000,True,Arunachal Pradesh,True,administrative
NELIVE (North East Live),http://www.nelive.in/assam/news/woman-injured-landslide,9051,2016-07-19 09:00:00,,"12th Mile area at Jorabat, Meghalaya, India","A family in 12th Mile area at Jorabat had a miraculous escape after a portion of a hillock located behind their compound fell on the house. The lady of the house, Nuni Sangma, received minor injuries in the incident.","12th Mile area at Jorabat, Meghalaya, India",25km,landslide,unknown,medium,natural_slope,0,1,,http://www.nelive.in/sites/default/files/city054%20%281%29.jpg,,glc,9051,India,IN,Meghalaya,2000,Dispur,6.97192,7/19/2016 19:03,11/20/2017 15:17,2/15/2018 15:51,91.8744337,26.09748244,2016,7,19,0.0000,-1.0000,True,Meghalaya,True,administrative
