event_id,event_date,year,month,month_sin,month_cos,is_monsoon,pre_monsoon,post_monsoon,latitude,longitude,state,trigger,landslide_size,landslide_category,elevation_proxy_m,slope_proxy_deg,rainfall_antecedent_proxy_mm,historical_density_50km,min_dist_to_historical_km,label,sample_type
5431,2013-09-01 00:00:00,2013,9,-0.866,-0.5,1,0,0,24.9829,93.5063,Assam,continuous_rain,medium,mudslide,200.1,19.1,422.1,33,0.0,1,observed_historical_event
3672,2011-06-29 00:00:00,2011,6,0.5,-0.866,1,0,0,25.5125,93.3613,Assam,downpour,medium,landslide,259.8,17.9,604.5,9,0.0,1,observed_historical_event
2253,2010-08-15 23:00:00,2010,8,-0.5,-0.866,1,0,0,25.31006064,94.48265093,Manipur,downpour,medium,landslide,1213.5,31.5,570.2,15,0.0,1,observed_historical_event
1108,2009-08-20 00:00:00,2009,8,-0.5,-0.866,1,0,0,24.9925,93.5,Assam,downpour,medium,landslide,193.0,19.3,575.7,31,0.0,1,observed_historical_event
6105,2014-06-26 23:00:00,2014,6,0.5,-0.866,1,0,0,28.9205,95.3429,Arunachal Pradesh,continuous_rain,medium,landslide,2349.9,32.4,557.2,2,0.0,1,observed_historical_event
9168,2016-06-12 23:00:00,2016,6,0.5,-0.866,1,0,0,27.6438,93.871,Arunachal Pradesh,downpour,medium,landslide,1933.4,28.2,619.1,2,0.0,1,observed_historical_event
3560,2011-05-31 14:30:00,2011,5,0.866,-0.5,0,1,0,24.8286,93.5935,Manipur,downpour,medium,landslide,1273.3,24.1,413.5,33,0.0,1,observed_historical_event
587,2008-06-15 00:00:00,2008,6,0.5,-0.866,1,0,0,27.2298,94.0989,Assam,downpour,medium,landslide,429.1,19.7,607.5,6,0.0,1,observed_historical_event
8012,2015-09-06 15:00:00,2015,9,-0.866,-0.5,1,0,0,25.9703,91.8584,Meghalaya,unknown,medium,landslide,1101.5,30.2,303.9,42,0.0,1,observed_historical_event
7335,2015-08-18 09:00:00,2015,8,-0.5,-0.866,1,0,0,25.5145,90.2023,Meghalaya,continuous_rain,medium,landslide,1133.5,33.1,540.4,8,0.0,1,observed_historical_event
3983,2011-09-23 00:00:00,2011,9,-0.866,-0.5,1,0,0,26.1548,91.7351,Assam,downpour,large,landslide,441.7,20.0,447.9,41,0.0,1,observed_historical_event
148,2007-07-30 00:00:00,2007,7,0.0,-1.0,1,0,0,22.479,92.967,Mizoram,downpour,medium,landslide,924.4,30.9,688.3,3,0.0,1,observed_historical_event
7385,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,24.004,93.9815,Manipur,continuous_rain,medium,landslide,955.7,23.8,518.9,11,0.0,1,observed_historical_event
2575,2010-10-09 00:00:00,2010,10,-1.0,-0.0,0,0,1,25.5242,92.9914,Assam,downpour,medium,landslide,203.2,20.0,185.2,12,0.0,1,observed_historical_event
3840,2011-07-25 00:00:00,2011,7,0.0,-1.0,1,0,0,24.6869,93.9157,Manipur,downpour,medium,landslide,1240.7,25.1,701.1,28,0.0,1,observed_historical_event
6015,2014-05-08 00:00:00,2014,5,0.866,-0.5,0,1,0,27.9032,96.174,Arunachal Pradesh,rain,medium,mudslide,2193.1,32.1,332.2,2,0.0,1,observed_historical_event
9051,2016-07-19 09:00:00,2016,7,0.0,-1.0,1,0,0,26.09748244,91.8744337,Meghalaya,unknown,medium,landslide,1057.2,27.4,488.2,40,0.0,1,observed_historical_event
2392,2010-09-04 00:00:00,2010,9,-0.866,-0.5,1,0,0,27.3702,88.7334,Sikkim,downpour,medium,landslide,2830.8,35.5,452.9,29,0.0,1,observed_historical_event
3830,2011-07-22 00:00:00,2011,7,0.0,-1.0,1,0,0,24.3527,94.3429,Manipur,downpour,small,landslide,1240.3,20.6,710.3,10,0.0,1,observed_historical_event
1755,2010-04-17 15:00:00,2010,4,1.0,0.0,0,1,0,27.3341,88.6083,Sikkim,downpour,small,landslide,2959.4,40.1,231.5,31,0.0,1,observed_historical_event
6990,2015-06-24 00:00:00,2015,6,0.5,-0.866,1,0,0,26.0319,94.5466,Nagaland,continuous_rain,medium,landslide,1144.8,26.5,570.8,11,0.0,1,observed_historical_event
6222,2014-10-01 11:00:00,2014,10,-1.0,-0.0,0,0,1,27.1249,93.7706,Arunachal Pradesh,unknown,small,landslide,2060.6,28.6,130.7,7,0.0,1,observed_historical_event
9169,2016-06-12 00:00:00,2016,6,0.5,-0.866,1,0,0,26.1677,94.2442,Nagaland,continuous_rain,unknown,landslide,1497.9,37.9,572.5,8,0.0,1,observed_historical_event
2344,2010-08-27 16:30:00,2010,8,-0.5,-0.866,1,0,0,24.7505,93.4221,Assam,downpour,medium,landslide,492.6,19.0,577.0,24,0.0,1,observed_historical_event
7263,2015-07-22 00:00:00,2015,7,0.0,-1.0,1,0,0,25.4477,94.0489,Manipur,continuous_rain,medium,landslide,1023.3,30.4,652.4,23,0.0,1,observed_historical_event
4424,2012-06-20 00:00:00,2012,6,0.5,-0.866,1,0,0,26.149,91.7351,Assam,downpour,medium,landslide,431.8,20.0,616.6,41,0.0,1,observed_historical_event
3525,2011-05-22 00:00:00,2011,5,0.866,-0.5,0,1,0,25.0672,93.4093,Assam,downpour,medium,landslide,247.4,18.2,397.1,32,0.0,1,observed_historical_event
7369,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,24.1988,94.1016,Manipur,continuous_rain,medium,landslide,1324.8,23.7,522.2,13,0.0,1,observed_historical_event
4377,2012-06-02 00:00:00,2012,6,0.5,-0.866,1,0,0,26.1475,91.7356,Assam,downpour,large,landslide,428.7,20.0,606.2,41,0.0,1,observed_historical_event
5430,2013-09-01 00:00:00,2013,9,-0.866,-0.5,1,0,0,24.9037,93.487,Manipur,continuous_rain,medium,mudslide,1027.7,21.1,410.5,32,0.0,1,observed_historical_event
7264,2015-07-22 00:00:00,2015,7,0.0,-1.0,1,0,0,25.4538,93.9827,Manipur,continuous_rain,medium,landslide,982.2,31.4,643.8,17,0.0,1,observed_historical_event
256,2007-09-10 00:00:00,2007,9,-0.866,-0.5,1,0,0,27.3425,88.6236,Sikkim,rain,medium,landslide,2940.9,42.4,349.0,31,0.0,1,observed_historical_event
9335,2016-05-18 08:00:00,2016,5,0.866,-0.5,0,1,0,24.5202,92.7239,Assam,continuous_rain,unknown,landslide,420.1,19.7,374.9,10,0.0,1,observed_historical_event
7279,2015-07-24 00:00:00,2015,7,0.0,-1.0,1,0,0,24.9818,93.5142,Manipur,monsoon,medium,mudslide,956.8,31.5,605.9,33,0.0,1,observed_historical_event
6288,2014-09-22 00:00:00,2014,9,-0.866,-0.5,1,0,0,26.1985,91.7998,Assam,rain,small,landslide,428.9,10.5,355.6,40,0.0,1,observed_historical_event
258,2007-09-11 00:00:00,2007,9,-0.866,-0.5,1,0,0,24.4279,94.0564,Manipur,rain,medium,landslide,996.9,30.8,355.8,17,0.0,1,observed_historical_event
5338,2013-08-16 00:00:00,2013,8,-0.5,-0.866,1,0,0,26.8727,94.9275,Assam,rain,medium,landslide,548.7,8.3,443.7,3,0.0,1,observed_historical_event
6143,2014-07-14 18:00:00,2014,7,0.0,-1.0,1,0,0,23.7327,92.7463,Mizoram,downpour,medium,landslide,1314.0,24.0,692.7,20,0.0,1,observed_historical_event
4908,2013-06-08 17:00:00,2013,6,0.5,-0.866,1,0,0,27.3721,88.708,Sikkim,downpour,medium,landslide,2842.8,38.2,622.4,29,0.0,1,observed_historical_event
9124,2016-07-19 00:00:00,2016,7,0.0,-1.0,1,0,0,25.203,90.5573,Meghalaya,continuous_rain,large,translational_slide,1526.5,28.9,654.2,5,0.0,1,observed_historical_event
9338,2016-05-18 08:00:00,2016,5,0.866,-0.5,0,1,0,24.4638,92.4943,Assam,continuous_rain,medium,landslide,232.4,19.8,383.2,9,0.0,1,observed_historical_event
2421,2010-09-13 09:00:00,2010,9,-0.866,-0.5,1,0,0,23.75406693,92.74128531,Mizoram,downpour,medium,landslide,1297.3,24.5,443.8,20,0.0,1,observed_historical_event
8901,2016-07-10 00:00:00,2016,7,0.0,-1.0,1,0,0,25.7902,94.1318,Nagaland,downpour,medium,landslide,1571.3,26.1,704.2,17,0.0,1,observed_historical_event
2283,2010-08-19 00:00:00,2010,8,-0.5,-0.866,1,0,0,24.8961,93.4957,Manipur,downpour,medium,mudslide,1044.9,21.2,559.6,32,0.0,1,observed_historical_event
4552,2012-09-14 00:00:00,2012,9,-0.866,-0.5,1,0,0,27.0377,88.3603,Sikkim,downpour,medium,landslide,2689.8,43.4,449.0,25,0.0,1,observed_historical_event
6016,2014-05-09 23:00:00,2014,5,0.866,-0.5,0,1,0,24.8669,92.3576,Assam,rain,small,landslide,364.8,18.6,336.7,12,0.0,1,observed_historical_event
7780,2015-08-26 00:00:00,2015,8,-0.5,-0.866,1,0,0,23.3572,92.7878,Mizoram,continuous_rain,medium,landslide,1033.8,24.3,532.5,17,0.0,1,observed_historical_event
6283,2014-09-22 00:00:00,2014,9,-0.866,-0.5,1,0,0,26.1314,91.7548,Assam,rain,small,landslide,376.0,20.0,360.4,41,0.0,1,observed_historical_event
8930,2016-07-11 23:00:00,2016,7,0.0,-1.0,1,0,0,26.1699,94.4922,Nagaland,unknown,large,landslide,1264.6,34.9,487.1,8,0.0,1,observed_historical_event
869,2008-10-29 00:00:00,2008,10,-1.0,-0.0,0,0,1,27.2333,94.1167,Assam,downpour,medium,landslide,460.8,20.0,185.1,6,0.0,1,observed_historical_event
285,2007-09-29 00:00:00,2007,9,-0.866,-0.5,1,0,0,24.1293,92.6921,Mizoram,rain,medium,landslide,1293.2,25.2,365.9,23,0.0,1,observed_historical_event
3662,2011-06-28 00:00:00,2011,6,0.5,-0.866,1,0,0,25.03561729,94.0144205,Manipur,rain,medium,landslide,949.1,24.1,478.7,28,0.0,1,observed_historical_event
8339,2015-09-23 00:00:00,2015,9,-0.866,-0.5,1,0,0,26.1666,91.7042,Assam,continuous_rain,medium,landslide,501.3,19.6,409.3,42,0.0,1,observed_historical_event
9186,2016-07-25 12:30:00,2016,7,0.0,-1.0,1,0,0,25.48,94.1383,Manipur,continuous_rain,medium,landslide,1102.3,20.0,645.9,21,0.0,1,observed_historical_event
7253,2015-07-22 00:00:00,2015,7,0.0,-1.0,1,0,0,24.7979,92.9974,Assam,continuous_rain,medium,landslide,473.8,12.3,644.7,19,0.0,1,observed_historical_event
6286,2014-09-22 00:00:00,2014,9,-0.866,-0.5,1,0,0,26.1044,91.7082,Assam,rain,small,landslide,402.6,14.3,351.8,41,0.0,1,observed_historical_event
594,2008-06-19 00:00:00,2008,6,0.5,-0.866,1,0,0,24.9336,93.8275,Manipur,monsoon,medium,mudslide,1136.5,27.1,538.6,35,0.0,1,observed_historical_event
7383,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,23.899,94.1434,Manipur,rain,medium,landslide,1119.8,20.0,460.4,7,0.0,1,observed_historical_event
8900,2016-07-07 00:00:00,2016,7,0.0,-1.0,1,0,0,25.0118,94.3136,Manipur,monsoon,large,landslide,1135.5,20.6,597.9,21,0.0,1,observed_historical_event
7666,2015-08-11 00:00:00,2015,8,-0.5,-0.866,1,0,0,25.1019,93.3729,Manipur,continuous_rain,medium,landslide,1088.5,30.0,532.9,32,0.0,1,observed_historical_event
2113,2010-07-21 08:00:00,2010,7,0.0,-1.0,1,0,0,27.3773,88.559,Sikkim,downpour,medium,landslide,3025.2,39.4,695.9,31,0.0,1,observed_historical_event
7701,2015-08-19 15:00:00,2015,8,-0.5,-0.866,1,0,0,25.6278,94.1051,Nagaland,continuous_rain,medium,landslide,1332.7,36.2,539.4,12,0.0,1,observed_historical_event
2422,2010-09-13 00:00:00,2010,9,-0.866,-0.5,1,0,0,23.74182634,92.7141905,Mizoram,downpour,medium,landslide,1333.1,24.4,451.0,20,0.0,1,observed_historical_event
6513,2014-08-14 23:00:00,2014,8,-0.5,-0.866,1,0,0,23.0137,91.7174,Tripura,downpour,medium,mudslide,265.8,17.7,562.1,1,0.0,1,observed_historical_event
4990,2013-06-27 23:00:00,2013,6,0.5,-0.866,1,0,0,27.3765,88.7628,Sikkim,downpour,medium,landslide,2827.7,32.5,605.2,28,0.0,1,observed_historical_event
6106,2014-06-26 23:00:00,2014,6,0.5,-0.866,1,0,0,26.1407,91.7645,Assam,continuous_rain,small,landslide,376.5,19.7,571.0,41,0.0,1,observed_historical_event
3965,2011-09-06 08:00:00,2011,9,-0.866,-0.5,1,0,0,24.808,93.117,Assam,rain,medium,landslide,617.4,18.5,353.1,31,0.0,1,observed_historical_event
6969,2015-06-16 06:15:00,2015,6,0.5,-0.866,1,0,0,25.5114,90.215,Meghalaya,downpour,medium,landslide,1116.5,32.4,613.6,9,0.0,1,observed_historical_event
8684,2016-07-07 00:00:00,2016,7,0.0,-1.0,1,0,0,25.9611,91.3681,Assam,continuous_rain,medium,landslide,256.1,15.1,660.4,31,0.0,1,observed_historical_event
1596,2010-03-27 20:00:00,2010,3,0.866,0.5,0,0,0,24.7339,93.9161,Manipur,downpour,medium,mudslide,1269.4,20.7,94.2,33,0.0,1,observed_historical_event
1771,2010-04-20 00:00:00,2010,4,1.0,0.0,0,1,0,26.1978,91.7665,Assam,downpour,medium,landslide,473.5,14.3,227.5,41,0.0,1,observed_historical_event
7364,2015-07-31 09:00:00,2015,7,0.0,-1.0,1,0,0,24.819,94.3551,Manipur,continuous_rain,medium,landslide,1321.1,31.0,662.9,18,0.0,1,observed_historical_event
6968,2015-06-13 00:00:00,2015,6,0.5,-0.866,1,0,0,25.463,92.2121,Meghalaya,continuous_rain,medium,landslide,1281.6,25.4,569.7,7,0.0,1,observed_historical_event
7373,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,24.9111,94.4759,Manipur,continuous_rain,medium,landslide,1020.1,26.8,518.8,12,0.0,1,observed_historical_event
1935,2010-06-03 00:00:00,2010,6,0.5,-0.866,1,0,0,23.8986,91.7599,Tripura,downpour,medium,landslide,133.8,16.9,600.2,2,0.0,1,observed_historical_event
7276,2015-07-25 09:00:00,2015,7,0.0,-1.0,1,0,0,26.1062,91.8717,Assam,continuous_rain,medium,landslide,217.3,12.7,640.7,40,0.0,1,observed_historical_event
6293,2014-10-20 00:00:00,2014,10,-1.0,-0.0,0,0,1,25.5006,90.0896,Meghalaya,rain,medium,landslide,1268.6,25.6,143.7,6,0.0,1,observed_historical_event
4858,2013-05-11 09:00:00,2013,5,0.866,-0.5,0,1,0,26.1662,91.7138,Assam,rain,medium,landslide,489.4,19.9,331.8,42,0.0,1,observed_historical_event
6284,2014-09-22 00:00:00,2014,9,-0.866,-0.5,1,0,0,26.1324,91.8342,Assam,rain,small,landslide,276.3,14.0,357.1,40,0.0,1,observed_historical_event
4394,2012-06-07 04:30:00,2012,6,0.5,-0.866,1,0,0,27.1748,88.6458,Sikkim,rain,large,landslide,2674.1,32.8,474.6,31,0.0,1,observed_historical_event
9251,2016-07-28 23:00:00,2016,7,0.0,-1.0,1,0,0,25.8702,94.7844,Nagaland,downpour,medium,landslide,1600.1,34.1,695.5,8,0.0,1,observed_historical_event
7699,2015-08-19 00:00:00,2015,8,-0.5,-0.866,1,0,0,26.0214,94.5224,Nagaland,continuous_rain,medium,landslide,1139.6,26.3,541.4,11,0.0,1,observed_historical_event
7664,2015-08-11 00:00:00,2015,8,-0.5,-0.866,1,0,0,24.7459,93.4251,Manipur,continuous_rain,medium,landslide,1241.4,30.9,529.7,25,0.0,1,observed_historical_event
7589,2015-08-19 00:00:00,2015,8,-0.5,-0.866,1,0,0,25.2568,92.3825,Meghalaya,rain,medium,landslide,1338.6,29.6,462.8,10,0.0,1,observed_historical_event
7887,2015-08-16 00:00:00,2015,8,-0.5,-0.866,1,0,0,27.8835,96.9262,Arunachal Pradesh,continuous_rain,medium,landslide,2339.8,39.9,538.0,2,0.0,1,observed_historical_event
9404,2016-05-01 00:00:00,2016,5,0.866,-0.5,0,1,0,28.0822,96.5316,Arunachal Pradesh,downpour,medium,landslide,1911.2,29.0,396.3,3,0.0,1,observed_historical_event
6287,2014-09-22 00:00:00,2014,9,-0.866,-0.5,1,0,0,26.1295,91.7056,Assam,rain,small,landslide,438.3,16.9,364.5,41,0.0,1,observed_historical_event
2296,2010-08-20 00:00:00,2010,8,-0.5,-0.866,1,0,0,27.167,88.3652,Sikkim,downpour,medium,complex,2712.3,32.0,572.5,30,0.0,1,observed_historical_event
1125,2009-08-26 00:00:00,2009,8,-0.5,-0.866,1,0,0,27.3746,88.7648,Sikkim,rain,medium,landslide,2828.9,32.5,451.9,28,0.0,1,observed_historical_event
8995,2016-07-14 00:00:00,2016,7,0.0,-1.0,1,0,0,26.1963,91.8074,Assam,monsoon,small,landslide,415.5,10.0,596.7,40,0.0,1,observed_historical_event
2567,2010-10-08 00:00:00,2010,10,-1.0,-0.0,0,0,1,25.6633,94.4703,Manipur,downpour,medium,complex,1105.6,29.6,180.0,17,0.0,1,observed_historical_event
3794,2011-07-17 00:00:00,2011,7,0.0,-1.0,1,0,0,26.99195749,88.42280921,Sikkim,rain,medium,landslide,2837.8,42.2,544.8,25,0.0,1,observed_historical_event
6285,2014-09-22 00:00:00,2014,9,-0.866,-0.5,1,0,0,26.159,91.8178,Assam,rain,small,landslide,336.7,12.8,357.4,40,0.0,1,observed_historical_event
868,2008-10-29 00:00:00,2008,10,-1.0,-0.0,0,0,1,26.3333,91.25,Assam,downpour,medium,landslide,576.1,19.9,175.3,7,0.0,1,observed_historical_event
5476,2013-09-07 15:00:00,2013,9,-0.866,-0.5,1,0,0,27.3736,88.7323,Sikkim,rain,medium,landslide,2830.1,35.2,370.3,29,0.0,1,observed_historical_event
1127,2009-08-27 00:00:00,2009,8,-0.5,-0.866,1,0,0,25.1718,93.123,Assam,downpour,medium,landslide,589.4,12.4,577.4,28,0.0,1,observed_historical_event
5603,2013-10-13 19:30:00,2013,10,-1.0,-0.0,0,0,1,25.426,94.6024,Manipur,downpour,medium,mudslide,1091.8,28.3,170.6,10,0.0,1,observed_historical_event
7933,2015-09-01 00:00:00,2015,9,-0.866,-0.5,1,0,0,26.1868,91.6739,Assam,rain,medium,rock_fall,565.9,19.1,359.0,42,0.0,1,observed_historical_event
3837,2011-07-24 12:30:00,2011,7,0.0,-1.0,1,0,0,26.5836,93.0038,Assam,downpour,medium,landslide,216.0,9.0,690.5,1,0.0,1,observed_historical_event
220,2007-08-31 00:00:00,2007,8,-0.5,-0.866,1,0,0,25.1333,93.9667,Manipur,rain,medium,landslide,1084.2,29.7,461.3,30,0.0,1,observed_historical_event
7372,2015-07-31 23:00:00,2015,7,0.0,-1.0,1,0,0,25.0634,94.3415,Manipur,continuous_rain,medium,mudslide,1140.9,28.8,659.8,18,0.0,1,observed_historical_event
2570,2010-10-08 00:00:00,2010,10,-1.0,-0.0,0,0,1,24.837,93.9128,Manipur,downpour,medium,landslide,1182.8,25.7,171.5,32,0.0,1,observed_historical_event
126,2007-07-16 00:00:00,2007,7,0.0,-1.0,1,0,0,27.1499,88.38,Sikkim,rain,medium,mudslide,2712.3,32.0,558.0,30,0.0,1,observed_historical_event
1168,2009-09-17 00:00:00,2009,9,-0.866,-0.5,1,0,0,27.1954,88.6115,Sikkim,rain,medium,landslide,2755.2,33.8,361.7,31,0.0,1,observed_historical_event
714,2008-08-14 00:00:00,2008,8,-0.5,-0.866,1,0,0,27.163,94.0,Assam,rain,medium,landslide,227.3,8.7,442.3,7,0.0,1,observed_historical_event
6110,2014-06-27 00:00:00,2014,6,0.5,-0.866,1,0,0,26.1619,91.7697,Assam,rain,small,landslide,404.8,17.9,492.1,41,0.0,1,observed_historical_event
247,2007-09-08 00:00:00,2007,9,-0.866,-0.5,1,0,0,25.0604,93.9877,Manipur,rain,medium,landslide,965.6,23.9,360.0,33,0.0,1,observed_historical_event
4407,2012-06-13 00:00:00,2012,6,0.5,-0.866,1,0,0,25.0951,92.3567,Assam,downpour,medium,landslide,292.9,9.4,618.5,9,0.0,1,observed_historical_event
6292,2014-09-23 00:00:00,2014,9,-0.866,-0.5,1,0,0,25.7238,89.9032,Assam,continuous_rain,small,landslide,523.3,15.9,421.8,6,0.0,1,observed_historical_event
545,2008-05-20 00:00:00,2008,5,0.866,-0.5,0,1,0,24.9849,92.8411,Assam,mining,medium,mudslide,256.5,15.9,270.0,17,0.0,1,observed_historical_event
7265,2015-07-22 00:00:00,2015,7,0.0,-1.0,1,0,0,25.5007,93.9854,Manipur,continuous_rain,medium,landslide,936.6,31.1,646.1,16,0.0,1,observed_historical_event
2436,2010-09-16 03:00:00,2010,9,-0.866,-0.5,1,0,0,24.3069,93.125,Mizoram,downpour,medium,landslide,1243.9,24.3,440.0,5,0.0,1,observed_historical_event
7727,2015-08-20 18:00:00,2015,8,-0.5,-0.866,1,0,0,25.6263,94.1057,Nagaland,continuous_rain,medium,landslide,1331.0,36.1,539.7,12,0.0,1,observed_historical_event
7334,2015-08-18 00:00:00,2015,8,-0.5,-0.866,1,0,0,28.1737,94.7596,Arunachal Pradesh,unknown,medium,landslide,2078.6,39.6,402.0,2,0.0,1,observed_historical_event
6200,2014-08-17 00:00:00,2014,8,-0.5,-0.866,1,0,0,27.0869,93.6086,Arunachal Pradesh,downpour,large,landslide,1972.9,39.5,576.3,5,0.0,1,observed_historical_event
7778,2015-08-26 00:00:00,2015,8,-0.5,-0.866,1,0,0,23.8447,93.0514,Mizoram,continuous_rain,medium,mudslide,1036.6,33.3,524.2,18,0.0,1,observed_historical_event
6290,2014-09-23 03:00:00,2014,9,-0.866,-0.5,1,0,0,25.5772,91.8666,Meghalaya,continuous_rain,small,landslide,1063.4,22.8,409.9,5,0.0,1,observed_historical_event
4403,2012-06-10 00:00:00,2012,6,0.5,-0.866,1,0,0,24.8142,93.5444,Manipur,downpour,very_large,landslide,1228.0,20.0,621.0,31,0.0,1,observed_historical_event
5429,2013-09-01 18:00:00,2013,9,-0.866,-0.5,1,0,0,27.3425,88.2426,Sikkim,downpour,medium,landslide,2829.7,35.1,463.2,28,0.0,1,observed_historical_event
2140,2010-07-25 00:00:00,2010,7,0.0,-1.0,1,0,0,25.0477,92.801,Assam,downpour,medium,landslide,332.0,18.2,688.1,20,0.0,1,observed_historical_event
9142,2016-06-14 08:00:00,2016,6,0.5,-0.866,1,0,0,26.3185,94.5247,Nagaland,continuous_rain,medium,landslide,1431.3,27.0,569.1,8,0.0,1,observed_historical_event
6107,2014-06-26 23:00:00,2014,6,0.5,-0.866,1,0,0,26.1844,91.7896,Assam,continuous_rain,small,landslide,417.2,13.1,558.7,41,0.0,1,observed_historical_event
255,2007-09-10 00:00:00,2007,9,-0.866,-0.5,1,0,0,24.2451,94.0691,Manipur,rain,medium,landslide,1276.1,22.3,365.5,14,0.0,1,observed_historical_event
7660,2015-08-12 00:00:00,2015,8,-0.5,-0.866,1,0,0,25.6237,94.1136,Nagaland,continuous_rain,medium,mudslide,1338.0,36.5,535.6,12,0.0,1,observed_historical_event
4556,2012-09-16 00:00:00,2012,9,-0.866,-0.5,1,0,0,27.1675,88.3651,Sikkim,downpour,medium,landslide,2712.8,32.0,442.7,30,0.0,1,observed_historical_event
7389,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,24.4072,94.0644,Manipur,continuous_rain,medium,landslide,1030.6,29.7,528.4,16,0.0,1,observed_historical_event
2437,2010-09-16 00:00:00,2010,9,-0.866,-0.5,1,0,0,23.7527,92.694,Mizoram,downpour,medium,landslide,1330.4,24.9,453.2,20,0.0,1,observed_historical_event
7371,2015-08-01 00:00:00,2015,8,-0.5,-0.866,1,0,0,23.9939,94.0573,Manipur,continuous_rain,medium,landslide,987.7,20.0,523.1,13,0.0,1,observed_historical_event
7923,2015-09-01 00:00:00,2015,9,-0.866,-0.5,1,0,0,26.49349035,91.72137514,Assam,rain,medium,landslide,417.3,19.8,368.3,37,0.0,1,observed_historical_event
2182,2010-07-31 09:00:00,2010,7,0.0,-1.0,1,0,0,24.9356,93.8443,Manipur,rain,medium,landslide,1110.4,29.2,552.6,34,0.0,1,observed_historical_event
1954,2010-06-07 00:00:00,2010,6,0.5,-0.866,1,0,0,24.7543,93.5039,Manipur,rain,medium,landslide,1242.4,28.6,478.3,30,0.0,1,observed_historical_event
6963,2015-06-19 00:00:00,2015,6,0.5,-0.866,1,0,0,23.7131,92.7362,Mizoram,rain,medium,landslide,1336.5,24.7,486.5,20,0.0,1,observed_historical_event
7590,2015-08-19 00:00:00,2015,8,-0.5,-0.866,1,0,0,25.1416,92.3807,Meghalaya,rain,small,landslide,1206.0,31.1,456.7,13,0.0,1,observed_historical_event
1222,2009-10-05 00:00:00,2009,10,-1.0,-0.0,0,0,1,23.73478778,92.72124394,Mizoram,downpour,medium,landslide,1334.9,24.4,169.0,20,0.0,1,observed_historical_event
